numero,nombre,direccion,dirComplemento,entreCalles,estado,ciudad,telefono,latitud,longitud,estacionamiento,rampas,recibeDolar,tipos_servicio,servicios_detalle
232,C.F. San Bartolo Naucalpan,Avenida 16 de Septiembre 505,"Col. Industrial Alce Blanco, Naucalpan de Juárez, C.P. 53370, Estado de México",Calle 4 y Calle 5,Estado de México,Naucalpan,0,19.470419,-99.222821,0,0,0.0,"300,400,100,300,400,300,400,900","300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No"
234,Portales,Calzada de Tlalpan 1280,"Col. Albert, Benito Juárez, C.P. 03560, Ciudad de México",Benito Juárez y Avenida Emilio Carranza,Ciudad de México,,0,19.371874,-99.140947,0,0,0.0,"100,300,300,400,400,900,400,300,300,400","100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No"
236,Narvarte,Diagonal San Antonio 1309,"Col. Narvarte Poniente, Benito Juárez, C.P. 03020, Ciudad de México",Avenida Cuauhtemoc y Xola,Ciudad de México,,0,19.39554,-99.156549,0,0,,"300,300,300,300,400,400,900,100","300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No"
4183,Sinatel,Sur 73 203,"Col. Sinatel, Iztapalapa, C.P. 09470, Ciudad de México",Manuel Gamio y Ermita Iztapalapa,Ciudad de México,,55396286,19.359211,-99.1344531,0,0,0.0,"100,400,900,400,300,300","100 (Sucursal): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No"
4184,Nativitas Tlalpan,Lago Poniente 20,"Col. Américas Unidas, Benito Juárez, C.P. 03610, Ciudad de México",Rosa Blanca y Calzada de Tlalpan,Ciudad de México,,55392268,19.379365,-99.141167,0,0,0.0,"400,300,900,300,300,300,100","400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No"
241,Tlalpan San Fernando,Calzada de Tlalpan 4791,"Col. Toriello Guerra, Tlalpan, C.P. 14050, Ciudad de México",Avenida San Fernando y Coapa,Ciudad de México,,0,19.29058,-99.16209,0,0,0.0,"300,400,400,400,100,300,300,300","300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No"
242,Valladolid Oaxaca,Avenida Oaxaca 108,"Col. Roma Norte, Cuauhtémoc, C.P. 06700, Ciudad de México",Valladolid y Tabasco,Ciudad de México,,0,19.417984,-99.167915,0,0,,"100,300,400,300,400","100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No"
243,Cuautitlán,Calzada de Guadalupe 101,"Col. Cuautitlán Centro, Cuautitlán, C.P. 54800, Estado de México",5 de Mayo y Avenida 16 de Septiembre,Estado de México,Cuautitlan,0,19.669589,-99.181627,0,0,0.0,"600,100,300,300,400,300,300,400,300,300,400,900","600 (AFORE): 09:00 - 16:00, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No"
245,Cuitláhuac,Avenida Cuitláhuac 3423,"Col. San Bernabe, Azcapotzalco, C.P. 02830, Ciudad de México",Eje 3 Norte Camarones y Prolongación Toronjas,Ciudad de México,,0,19.469104,-99.172879,0,0,0.0,"900,400,400,300,300,400,100","900 (Banamex 1): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No"
246,Azcapotzalco,Reforma 2,"Col. Centro de Azcapotzalco, Azcapotzalco, C.P. 02000, Ciudad de México",Tlalnepantla y Itzcóatl,Ciudad de México,,0,19.481383,-99.18742,0,0,0.0,"300,300,400,300,100,300,900,300,400,400","300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: Yes; 300 (ATM): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No"
